Model,Precision Score,Recall Score,Accuracy Score,F1 Score,Confusion Matrix
LR,0.995828133,0.995774648,0.995774648,0.995780621,"[[234, 0, 0], [1, 240, 0], [2, 0, 233]]"
SVC,0.987793427,0.987323944,0.987323944,0.987363131,"[[234, 0, 0], [2, 239, 0], [7, 0, 228]]"
SGDC,0.981747604,0.981690141,0.981690141,0.981707203,"[[228, 6, 0], [3, 237, 1], [3, 0, 232]]"
KNN,0.955543848,0.949295775,0.949295775,0.949253535,"[[233, 1, 0], [2, 239, 0], [33, 0, 202]]"
RF,0.922452361,0.898591549,0.898591549,0.896179489,"[[234, 0, 0], [0, 241, 0], [72, 0, 163]]"
NB,0.856762987,0.842253521,0.842253521,0.838004849,"[[148, 73, 13], [14, 227, 0], [4, 8, 223]]"
DTC,0.773782915,0.767605634,0.767605634,0.765409965,"[[127, 0, 107], [2, 238, 1], [55, 0, 180]]"
